ticker,sector
BONDS,Bonds
VOO,ETF
SMH,ETF
IWF,ETF
QQQ,ETF
NFLX,Communication Services
TTD,Communication Services
EA,Communication Services
LYV,Communication Services
OMC,Communication Services
NXST,Communication Services
WMG,Communication Services
NVR,Consumer Discretionary
BKNG,Consumer Discretionary
TSLA,Consumer Discretionary
HD,Consumer Discretionary
DPZ,Consumer Discretionary
DECK,Consumer Discretionary
LULU,Consumer Discretionary
WSM,Consumer Discretionary
CVCO,Consumer Discretionary
ULTA,Consumer Discretionary
LLY,Healthcare
REGN,Healthcare
HCA,Healthcare
IDXX,Healthcare
WST,Healthcare
ABBV,Healthcare
HALO,Healthcare
MEDP,Healthcare
DXCM,Healthcare
MOH,Healthcare
GWW,Industrials
URI,Industrials
ODFL,Industrials
LMT,Industrials
ITW,Industrials
PH,Industrials
LII,Industrials
CSL,Industrials
WTS,Industrials
POWL,Industrials
NVDA,Technology
MSFT,Technology
AAPL,Technology
ADBE,Technology
NOW,Technology
KLAC,Technology
SNPS,Technology
MPWR,Technology
FTNT,Technology
DDOG,Technology
MANH,Technology
TYL,Technology
PLTR,Technology
FICO,Technology
ADP,Technology
FI,Technology
EPAM,Technology
PANW,Technology
NTAP,Technology
APPF,Technology
CDNS,Technology
VST,Utilities
AWR,Utilities
CEG,Renewable Energy
NEE,Renewable Energy
ENPH,Renewable Energy
FSLR,Renewable Energy
SEDG,Renewable Energy